Name,Temperature,Volume (ml),Calories (kcal),Caffeine (mg),Sugar (g),Fat (g),Sodium (mg),Price (KRW),Cafe,Category
ICE 저당 코코넛라떼,ICE,600.0,188.0,296.0,12.0,6.9,127.0,3500,더 벤티,주스/에이드/음료
HOT 저당 코코넛라떼,HOT,600.0,250.0,296.0,17.0,9.1,174.0,3500,더 벤티,주스/에이드/음료
ICE 저당 카페모카,ICE,600.0,270.0,302.0,11.0,5.7,159.0,3500,더 벤티,주스/에이드/음료
HOT 저당 카페모카,HOT,600.0,332.0,302.0,16.0,7.9,206.0,3500,더 벤티,주스/에이드/음료
ICE 저당 미숫가루,ICE,600.0,368.0,0.0,1.0,0.9,3.0,3000,더 벤티,주스/에이드/음료
ICE 저당 미숫가루라떼,ICE,600.0,408.0,0.0,13.0,6.3,127.0,3500,더 벤티,주스/에이드/음료
HOT 저당 미숫가루라떼,HOT,600.0,473.0,0.0,18.0,8.6,177.0,3500,더 벤티,주스/에이드/음료
ICE 저당 초코라떼,ICE,600.0,311.0,10.0,11.0,5.9,181.0,3500,더 벤티,주스/에이드/음료
HOT 저당 초코라떼,HOT,600.0,359.0,10.0,15.0,7.2,218.0,3500,더 벤티,주스/에이드/음료
ICE 저당 말차라떼,ICE,600.0,324.0,69.0,12.0,5.2,114.0,3500,더 벤티,주스/에이드/음료
HOT 저당 말차라떼,HOT,600.0,373.0,69.0,15.0,6.9,151.0,3500,더 벤티,주스/에이드/음료
ICE 저당 플레인요거트스무디,ICE,600.0,345.0,0.0,7.0,7.9,87.0,3900,더 벤티,주스/에이드/음료
ICE 저당 딸기요거트스무디,ICE,600.0,432.0,0.0,28.0,7.9,92.0,3900,더 벤티,주스/에이드/음료
ICE 저당 블루베리요거트스무디,ICE,600.0,443.0,0.0,27.0,7.9,110.0,3900,더 벤티,주스/에이드/음료
ICE 저당 망고요거트스무디,ICE,600.0,430.0,0.0,27.0,7.9,105.0,3900,더 벤티,주스/에이드/음료
ICE 저당 코코넛커피프라페,ICE,600.0,247.0,26.0,11.0,11.5,140.0,4500,더 벤티,주스/에이드/음료
ICE 오사당,ICE,600.0,171.0,0.0,41.0,0.0,40.0,4300,더 벤티,주스/에이드/음료
ICE 사딸비,ICE,600.0,173.0,0.0,41.0,0.0,69.0,4300,더 벤티,주스/에이드/음료
ICE 망플단,ICE,600.0,168.0,0.0,40.0,0.0,73.0,4300,더 벤티,주스/에이드/음료
ICE 체리콕,ICE,600.0,168.0,0.0,40.0,0.0,73.0,3900,더 벤티,주스/에이드/음료
ICE 크림소다,ICE,600.0,269.0,0.0,53.0,1.4,75.0,3900,더 벤티,주스/에이드/음료
ICE 메론소다,ICE,600.0,277.0,0.0,59.0,1.4,77.0,3900,더 벤티,주스/에이드/음료
ICE 레몬에이드,ICE,600.0,262.0,0.0,46.0,0.0,26.0,3900,더 벤티,주스/에이드/음료
ICE 자몽에이드,ICE,600.0,192.0,0.0,45.0,0.0,42.0,3900,더 벤티,주스/에이드/음료
ICE 포도에이드,ICE,600.0,260.0,0.0,61.0,0.0,15.0,3900,더 벤티,주스/에이드/음료
ICE 애플망고에이드,ICE,600.0,190.0,0.0,44.0,0.0,41.0,3900,더 벤티,주스/에이드/음료
ICE 복숭아아이스티,ICE,600.0,211.0,20.0,40.0,0.0,21.0,3000,더 벤티,티
ICE 허니유자티,ICE,600.0,255.0,0.0,26.0,0.0,38.0,3500,더 벤티,티
HOT 허니유자티,HOT,600.0,300.0,0.0,30.0,0.0,45.0,3500,더 벤티,티
ICE 허니자몽티,ICE,600.0,192.0,0.0,45.0,0.0,42.0,3500,더 벤티,티
HOT 허니자몽티,HOT,600.0,226.0,0.0,53.0,0.0,50.0,3500,더 벤티,티
ICE 허니레몬티,ICE,600.0,262.0,0.0,46.0,0.0,26.0,3500,더 벤티,티
HOT 허니레몬티,HOT,600.0,296.0,0.0,54.0,0.0,30.0,3500,더 벤티,티
ICE 자몽허니블랙티,ICE,600.0,195.0,0.0,46.0,16.0,39.0,3500,더 벤티,티
